FileName,ObservedScore_Label,ObservedScore,CalculatedScore,Capacity_mAh,SOC_pct,MaxDisplacement,ForceRate,VoltageAtCollapse,MaxTemperature,TempRateOfRise,VoltageDifference,source,ts_voltage_initial,ts_voltage_final,ts_voltage_drop,ts_voltage_min,ts_voltage_mean,ts_voltage_std,ts_voltage_collapse,ts_temp_max,ts_temp_initial,ts_temp_rise,ts_temp_rate_max,ts_force_max,ts_force_mean,ts_force_final,ts_disp_max,ts_disp_final,ts_test_duration,dataset_type,session,session_type
OE-10Ahr-NMC-100SOC-cell10,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,10000,100.0,31.17243349978093,49.24763412475586,95.0,150.24270629882812,207.35845947265625,4.18,TR_V1,4.177,-0.005,4.1819999999999995,-0.011,3.419577431906615,1.5888422390752956,922.0,150.2427,21.9357,128.30700000000002,33.99792,2.008,-120.26437081712061,0.94,,,312.059,thermal_runaway,,
OE-10Ahr-NMC-100SOC-cell11,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,10000,100.0,31.17243349978093,39.6705379486084,95.0,,,,TR_V1,4.172,-0.005,4.177,-0.008,3.3207338627914833,1.6556541200151635,1208.0,150.2427,23.5043,126.73840000000001,34.19007,1.96,-76.94168215613382,0.359,,,335.485,thermal_runaway,,
OE-LFP10Ah-100SOC-cell1,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,44.82154738099663,10000,100.0,23.493560903184495,0.4946531444787979,31.666666666666668,48.47367858886719,2.082750082015991,0.0389999999999997,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP10Ah-100SOC-cell2,"No effect, local heating, internal discharge – 2",2,44.964865769454,10000,100.0,23.08945366691367,1.0420787692070008,31.666666666666668,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-LFP10Ah-100SOC-cell12,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,45.174177735234,10000,100.0,23.82310627717247,0.5177381247282028,31.666666666666668,,,,TR_V1,3.34,3.304,0.03600000000000003,3.251,3.3114586124918954,0.027805537470745056,0.0,51.25121,19.48866,31.76255,0.25563999999999965,11.87,-162.83631683596283,7.554,,,727.979,thermal_runaway,,
Soteria-Control-50SOC,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,27.83844121026054,4620,50.0,28.544495235751626,2.8122793078422545,7.315,,,,TR_V1,3.789,3.465,0.3240000000000003,3.342,3.651774220032841,0.10904726106812145,0.0,105.6331,22.79251,82.84058999999999,0.49965999999999866,6.185,-59.62967311752288,-40.809,,,767.094,thermal_runaway,,
Soteria-SCC-4160mAh-100SOC-8mm,"No effect, instant local Joule heating, no internal discharge – 1",1,5.0,4160,100.0,20.477324887877025,0.1533279947936535,13.173333333333334,,,,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
OE-10Ahr-NMC-70SOC-cell6,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",7,100.0,10000,70.0,31.17243349978093,36.33489799499512,66.5,,,,TR_V1,3.855,-0.006,3.8609999999999998,-0.009,1.9959831213597996,1.9083962320512162,4036.0,150.2427,22.19987,128.04283,18.359990000000003,24.461,-53.84649518602163,20.094,,,425.021,thermal_runaway,,
OE-10AHr-NMC-40SOC-Cell4,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,50.83071954500064,10000,40.0,25.258544391904127,23.738841819763184,12.666666666666668,,,,TR_V1,3.641,3.534,0.1070000000000002,2.852,3.5824505766847774,0.0813916909281651,0.0,64.76552,22.41156,42.353959999999994,11.062470000000005,20.695,-51.649540177294824,10.471,,,608.396,thermal_runaway,,
OE-10Ahr-NMC-40SOC-cell1,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",4,54.99418490965788,10000,40.0,26.31706581353768,26.843785762786865,12.666666666666668,76.32388305664062,113.0264663696289,0.1419999999999999,TR_V1,,,,,,,,,,,,,,,,,,thermal_runaway,,
